num_nodes,reward
35,"(tensor(-126.9062, device='cuda:0', grad_fn=<SubBackward0>), tensor(3895.3125, device='cuda:0', requires_grad=True), tensor(50., device='cuda:0', requires_grad=True))"
36,"(tensor(-143.8750, device='cuda:0', grad_fn=<SubBackward0>), tensor(4743.7500, device='cuda:0', requires_grad=True), tensor(50., device='cuda:0', requires_grad=True))"
37,"(tensor(-120.7812, device='cuda:0', grad_fn=<SubBackward0>), tensor(1139.0625, device='cuda:0', requires_grad=True), tensor(100., device='cuda:0', requires_grad=True))"
38,"(tensor(-70.9375, device='cuda:0', grad_fn=<SubBackward0>), tensor(1096.8750, device='cuda:0', requires_grad=True), tensor(50., device='cuda:0', requires_grad=True))"
39,"(tensor(-87.9062, device='cuda:0', grad_fn=<SubBackward0>), tensor(1945.3125, device='cuda:0', requires_grad=True), tensor(50., device='cuda:0', requires_grad=True))"
40,"(tensor(-104.8750, device='cuda:0', grad_fn=<SubBackward0>), tensor(2793.7500, device='cuda:0', requires_grad=True), tensor(50., device='cuda:0', requires_grad=True))"
41,"(tensor(-121.8438, device='cuda:0', grad_fn=<SubBackward0>), tensor(3642.1875, device='cuda:0', requires_grad=True), tensor(50., device='cuda:0', requires_grad=True))"
42,"(tensor(-138.8125, device='cuda:0', grad_fn=<SubBackward0>), tensor(4490.6250, device='cuda:0', requires_grad=True), tensor(50., device='cuda:0', requires_grad=True))"
43,"(tensor(-155.7812, device='cuda:0', grad_fn=<SubBackward0>), tensor(5339.0625, device='cuda:0', requires_grad=True), tensor(50., device='cuda:0', requires_grad=True))"
44,"(tensor(-172.7500, device='cuda:0', grad_fn=<SubBackward0>), tensor(6187.5000, device='cuda:0', requires_grad=True), tensor(50., device='cuda:0', requires_grad=True))"
45,"(tensor(-189.7188, device='cuda:0', grad_fn=<SubBackward0>), tensor(7035.9375, device='cuda:0', requires_grad=True), tensor(50., device='cuda:0', requires_grad=True))"
46,"(tensor(-206.6875, device='cuda:0', grad_fn=<SubBackward0>), tensor(7884.3750, device='cuda:0', requires_grad=True), tensor(50., device='cuda:0', requires_grad=True))"
47,"(tensor(-223.6562, device='cuda:0', grad_fn=<SubBackward0>), tensor(8732.8125, device='cuda:0', requires_grad=True), tensor(50., device='cuda:0', requires_grad=True))"
48,"(tensor(-13.5000, device='cuda:0', grad_fn=<SubBackward0>), tensor(675., device='cuda:0', requires_grad=True), tensor(0., device='cuda:0', requires_grad=True))"
49,"(tensor(-30.4688, device='cuda:0', grad_fn=<SubBackward0>), tensor(1523.4375, device='cuda:0', requires_grad=True), tensor(0., device='cuda:0', requires_grad=True))"
50,"(tensor(-47.4375, device='cuda:0', grad_fn=<SubBackward0>), tensor(2371.8750, device='cuda:0', requires_grad=True), tensor(0., device='cuda:0', requires_grad=True))"
51,"(tensor(-64.4062, device='cuda:0', grad_fn=<SubBackward0>), tensor(3220.3125, device='cuda:0', requires_grad=True), tensor(0., device='cuda:0', requires_grad=True))"
52,"(tensor(-81.3750, device='cuda:0', grad_fn=<SubBackward0>), tensor(4068.7500, device='cuda:0', requires_grad=True), tensor(0., device='cuda:0', requires_grad=True))"
53,"(tensor(-98.3438, device='cuda:0', grad_fn=<SubBackward0>), tensor(4917.1875, device='cuda:0', requires_grad=True), tensor(0., device='cuda:0', requires_grad=True))"
54,"(tensor(-115.3125, device='cuda:0', grad_fn=<SubBackward0>), tensor(5765.6250, device='cuda:0', requires_grad=True), tensor(0., device='cuda:0', requires_grad=True))"
55,"(tensor(-132.2812, device='cuda:0', grad_fn=<SubBackward0>), tensor(6614.0625, device='cuda:0', requires_grad=True), tensor(0., device='cuda:0', requires_grad=True))"
56,"(tensor(-149.2500, device='cuda:0', grad_fn=<SubBackward0>), tensor(7462.5000, device='cuda:0', requires_grad=True), tensor(0., device='cuda:0', requires_grad=True))"
57,"(tensor(-166.2188, device='cuda:0', grad_fn=<SubBackward0>), tensor(8310.9375, device='cuda:0', requires_grad=True), tensor(0., device='cuda:0', requires_grad=True))"
58,"(tensor(-183.1875, device='cuda:0', grad_fn=<SubBackward0>), tensor(9159.3750, device='cuda:0', requires_grad=True), tensor(0., device='cuda:0', requires_grad=True))"
59,"(tensor(-200.1562, device='cuda:0', grad_fn=<SubBackward0>), tensor(10007.8125, device='cuda:0', requires_grad=True), tensor(0., device='cuda:0', requires_grad=True))"
60,"(tensor(-217.1250, device='cuda:0', grad_fn=<SubBackward0>), tensor(10856.2500, device='cuda:0', requires_grad=True), tensor(0., device='cuda:0', requires_grad=True))"
61,"(tensor(-234.0938, device='cuda:0', grad_fn=<SubBackward0>), tensor(11704.6875, device='cuda:0', requires_grad=True), tensor(0., device='cuda:0', requires_grad=True))"
62,"(tensor(-251.0625, device='cuda:0', grad_fn=<SubBackward0>), tensor(12553.1250, device='cuda:0', requires_grad=True), tensor(0., device='cuda:0', requires_grad=True))"
63,"(tensor(-268.0312, device='cuda:0', grad_fn=<SubBackward0>), tensor(13401.5625, device='cuda:0', requires_grad=True), tensor(0., device='cuda:0', requires_grad=True))"
64,"(tensor(-285., device='cuda:0', grad_fn=<SubBackward0>), tensor(14250., device='cuda:0', requires_grad=True), tensor(0., device='cuda:0', requires_grad=True))"
